n,seed,c_setting,c,solvable,cost,odd,oddagents,time
stable,2,76,c0,1,1,2.0000,0,0,0.00
stable,2,76,c1,1,1,2.0000,0,0,0.00
stable,2,76,c2,1,1,2.0000,0,0,0.00
stable,2,76,c3,1,1,2.0000,0,0,0.00
stable,2,76,c4,1,1,2.0000,0,0,0.00
stable,2,77,c0,1,1,2.0000,0,0,0.00
stable,2,77,c1,1,1,2.0000,0,0,0.00
stable,2,77,c2,1,1,2.0000,0,0,0.00
stable,2,77,c3,1,1,2.0000,0,0,0.00
stable,2,77,c4,1,1,2.0000,0,0,0.00
stable,2,78,c0,1,1,2.0000,0,0,0.00
stable,2,78,c1,1,1,2.0000,0,0,0.00
stable,2,78,c2,1,1,2.0000,0,0,0.00
stable,2,78,c3,1,1,2.0000,0,0,0.00
stable,2,78,c4,1,1,2.0000,0,0,0.00
stable,2,79,c0,1,1,2.0000,0,0,0.00
stable,2,79,c1,1,1,2.0000,0,0,0.00
stable,2,79,c2,1,1,2.0000,0,0,0.00
stable,2,79,c3,1,1,2.0000,0,0,0.00
stable,2,79,c4,1,1,2.0000,0,0,0.00
stable,2,80,c0,1,1,2.0000,0,0,0.00
stable,2,80,c1,1,1,2.0000,0,0,0.00
stable,2,80,c2,1,1,2.0000,0,0,0.00
stable,2,80,c3,1,1,2.0000,0,0,0.00
stable,2,80,c4,1,1,2.0000,0,0,0.00
stable,2,81,c0,1,1,2.0000,0,0,0.00
stable,2,81,c1,1,1,2.0000,0,0,0.00
stable,2,81,c2,1,1,2.0000,0,0,0.00
stable,2,81,c3,1,1,2.0000,0,0,0.00
stable,2,81,c4,1,1,2.0000,0,0,0.00
stable,2,82,c0,1,1,2.0000,0,0,0.00
stable,2,82,c1,1,1,2.0000,0,0,0.00
stable,2,82,c2,1,1,2.0000,0,0,0.00
stable,2,82,c3,1,1,2.0000,0,0,0.00
stable,2,82,c4,1,1,2.0000,0,0,0.00
stable,2,83,c0,1,1,2.0000,0,0,0.00
stable,2,83,c1,1,1,2.0000,0,0,0.00
stable,2,83,c2,1,1,2.0000,0,0,0.02
stable,2,83,c3,1,1,2.0000,0,0,0.00
stable,2,83,c4,1,1,2.0000,0,0,0.00
stable,2,84,c0,1,1,2.0000,0,0,0.00
stable,2,84,c1,1,1,2.0000,0,0,0.00
stable,2,84,c2,1,1,2.0000,0,0,0.00
stable,2,84,c3,1,1,2.0000,0,0,0.00
stable,2,84,c4,1,1,2.0000,0,0,0.02
stable,2,85,c0,1,1,2.0000,0,0,0.00
stable,2,85,c1,1,1,2.0000,0,0,0.00
stable,2,85,c2,1,1,2.0000,0,0,0.00
stable,2,85,c3,1,1,2.0000,0,0,0.00
stable,2,85,c4,1,1,2.0000,0,0,0.00
stable,2,86,c0,1,1,2.0000,0,0,0.00
stable,2,86,c1,1,1,2.0000,0,0,0.00
stable,2,86,c2,1,1,2.0000,0,0,0.00
stable,2,86,c3,1,1,2.0000,0,0,0.00
stable,2,86,c4,1,1,2.0000,0,0,0.00
stable,2,87,c0,1,1,2.0000,0,0,0.00
stable,2,87,c1,1,1,2.0000,0,0,0.00
stable,2,87,c2,1,1,2.0000,0,0,0.00
stable,2,87,c3,1,1,2.0000,0,0,0.00
stable,2,87,c4,1,1,2.0000,0,0,0.00
stable,2,88,c0,1,1,2.0000,0,0,0.00
stable,2,88,c1,1,1,2.0000,0,0,0.00
stable,2,88,c2,1,1,2.0000,0,0,0.00
stable,2,88,c3,1,1,2.0000,0,0,0.00
stable,2,88,c4,1,1,2.0000,0,0,0.00
stable,2,89,c0,1,1,2.0000,0,0,0.00
stable,2,89,c1,1,1,2.0000,0,0,0.00
stable,2,89,c2,1,1,2.0000,0,0,0.02
stable,2,89,c3,1,1,2.0000,0,0,0.00
stable,2,89,c4,1,1,2.0000,0,0,0.00
stable,2,90,c0,1,1,2.0000,0,0,0.00
stable,2,90,c1,1,1,2.0000,0,0,0.00
stable,2,90,c2,1,1,2.0000,0,0,0.00
stable,2,90,c3,1,1,2.0000,0,0,0.00
stable,2,90,c4,1,1,2.0000,0,0,0.00
stable,2,91,c0,1,1,2.0000,0,0,0.00
stable,2,91,c1,1,1,2.0000,0,0,0.00
stable,2,91,c2,1,1,2.0000,0,0,0.00
stable,2,91,c3,1,1,2.0000,0,0,0.00
stable,2,91,c4,1,1,2.0000,0,0,0.00
stable,2,92,c0,1,1,2.0000,0,0,0.00
stable,2,92,c1,1,1,2.0000,0,0,0.00
stable,2,92,c2,1,1,2.0000,0,0,0.00
stable,2,92,c3,1,1,2.0000,0,0,0.00
stable,2,92,c4,1,1,2.0000,0,0,0.00
stable,2,93,c0,1,1,2.0000,0,0,0.00
stable,2,93,c1,1,1,2.0000,0,0,0.00
stable,2,93,c2,1,1,2.0000,0,0,0.00
stable,2,93,c3,1,1,2.0000,0,0,0.02
stable,2,93,c4,1,1,2.0000,0,0,0.00
stable,2,94,c0,1,1,2.0000,0,0,0.00
stable,2,94,c1,1,1,2.0000,0,0,0.00
stable,2,94,c2,1,1,2.0000,0,0,0.00
stable,2,94,c3,1,1,2.0000,0,0,0.00
stable,2,94,c4,1,1,2.0000,0,0,0.00
stable,2,95,c0,1,1,2.0000,0,0,0.00
stable,2,95,c1,1,1,2.0000,0,0,0.00
stable,2,95,c2,1,1,2.0000,0,0,0.00
stable,2,95,c3,1,1,2.0000,0,0,0.00
stable,2,95,c4,1,1,2.0000,0,0,0.00
stable,2,96,c0,1,1,2.0000,0,0,0.00
stable,2,96,c1,1,1,2.0000,0,0,0.02
stable,2,96,c2,1,1,2.0000,0,0,0.00
stable,2,96,c3,1,1,2.0000,0,0,0.00
stable,2,96,c4,1,1,2.0000,0,0,0.00
stable,2,97,c0,1,1,2.0000,0,0,0.00
stable,2,97,c1,1,1,2.0000,0,0,0.00
stable,2,97,c2,1,1,2.0000,0,0,0.00
stable,2,97,c3,1,1,2.0000,0,0,0.00
stable,2,97,c4,1,1,2.0000,0,0,0.00
stable,2,98,c0,1,1,2.0000,0,0,0.00
stable,2,98,c1,1,1,2.0000,0,0,0.00
stable,2,98,c2,1,1,2.0000,0,0,0.00
stable,2,98,c3,1,1,2.0000,0,0,0.00
stable,2,98,c4,1,1,2.0000,0,0,0.00
stable,2,99,c0,1,1,2.0000,0,0,0.00
stable,2,99,c1,1,1,2.0000,0,0,0.00
stable,2,99,c2,1,1,2.0000,0,0,0.00
stable,2,99,c3,1,1,2.0000,0,0,0.00
stable,2,99,c4,1,1,2.0000,0,0,0.00
stable,2,100,c0,1,1,2.0000,0,0,0.00
stable,2,100,c1,1,1,2.0000,0,0,0.00
stable,2,100,c2,1,1,2.0000,0,0,0.00
stable,2,100,c3,1,1,2.0000,0,0,0.00
stable,2,100,c4,1,1,2.0000,0,0,0.00
stable,2,101,c0,1,1,2.0000,0,0,0.00
stable,2,101,c1,1,1,2.0000,0,0,0.00
stable,2,101,c2,1,1,2.0000,0,0,0.00
stable,2,101,c3,1,1,2.0000,0,0,0.00
stable,2,101,c4,1,1,2.0000,0,0,0.00
stable,2,102,c0,1,1,2.0000,0,0,0.00
stable,2,102,c1,1,1,2.0000,0,0,0.00
stable,2,102,c2,1,1,2.0000,0,0,0.00
stable,2,102,c3,1,1,2.0000,0,0,0.00
